contestant_name,season_number,BTM2,HIGH,LOW,SAFE,WIN,Winner
Akashia,1,2,,,,,
BeBe Zahara Benet,1,1,1,,2,2,1
Jade,1,,,1,2,,
Nina Flowers,1,,4,1,,1,
Ongina,1,,2,,,2,
Rebecca Glasscock,1,2,1,1,1,1,
Shannel,1,1,2,1,1,,
Tammie Brown,1,,,,1,,
Victoria Porkchop Parker,1,,,,,,
Jessica Wild,2,,3,,2,1,
Jujubee,2,3,3,1,2,,
Morgan McMichaels,2,1,,,2,1,
Mystique Summers Madison,2,,1,1,,,
Nicole Paige Brooks,2,,,,1,,
Pandora Boxx,2,,4,2,1,,
Raven,2,2,3,,2,2,
Sahara Davenport,2,2,,,2,1,
Shangela Laquifa Wadley,2,,,,,,
Sonique,2,,,1,2,,
Tatianna,2,1,1,,5,1,
Tyra Sanchez,2,,4,1,1,3,1
Alexis Mateo,3,3,2,1,3,3,
Carmen Carrera,3,1,1,3,3,,
Delta Work,3,2,1,,3,,
India Ferrah,3,1,,,2,,
Manila Luzon,3,1,4,1,3,3,
Mariah,3,,1,2,1,,
Mimi Imfurst,3,,2,,,,
Phoenix,3,,,,1,,
Raja,3,1,4,1,3,3,1
Shangela,3,2,1,1,3,2,
Stacy Layne Matthews,3,1,2,,1,1,
Venus D-Lite,3,,,,,,
Yara Sofia,3,1,4,1,4,1,
Alisa Summers,4,,,,,,
Chad Michaels,4,1,4,1,4,2,
DiDa Ritz,4,1,,2,5,,
Jiggly Caliente,4,2,1,,3,,
Kenya Michaels,4,,1,2,1,,
Lashauwn Beyond,4,,1,,,,
Latrice Royale,4,2,1,1,4,2,
Madame LaQueer,4,,,1,1,1,
Milan,4,2,1,,2,,
Phi Phi O'Hara,4,1,3,2,4,2,
Sharon Needles,4,1,3,1,3,4,1
The Princess,4,1,1,,,,
Willam,4,1,2,,3,1,
Alaska,5,,4,2,4,2,
Alyssa Edwards,5,2,,1,4,1,
Coco Montrese,5,3,,,5,1,
Detox,5,2,1,1,5,1,
Honey Mahogany,5,,1,,2,,
Ivy Winters,5,,3,2,1,1,
Jade Jolie,5,,,1,4,,
Jinkx Monsoon,5,1,6,,3,2,1
Lineysha Sparx,5,,1,,2,1,
Monica Beverly Hillz,5,1,,,1,,
Penny Tration,5,,,,,,
Roxxxy Andrews,5,1,5,2,2,2,
Serena ChaCha,5,1,,,,,
Vivienne Pinay,5,,1,1,1,,
Adore Delano,6,2,2,2,2,3,
April Carrión,6,1,1,,,,
BenDeLaCreme,6,1,3,1,2,2,
Bianca Del Rio,6,,4,,4,3,1
Courtney Act,6,,1,3,5,2,
Darienne Lake,6,3,1,3,2,1,
Gia Gunn,6,,,,3,,
Joslyn Fox,6,1,2,3,2,,
Kelly Mantle,6,,,,,,
Laganja Estranja,6,1,,,4,1,
Magnolia Crawford,6,,,,,,
Milk,6,,2,1,1,,
Trinity K. Bonet,6,2,4,,1,,
Vivacious,6,1,,,,,
Ginger Minj,7,2,2,,5,3,
Jaidynn Diore Fierce,7,2,2,,3,,
Jasmine Masters,7,,,1,1,,
Kandy Ho,7,2,,1,2,,
Katya,7,1,4,,3,2,
Kennedy Davenport,7,2,2,,5,2,
Max,7,,,,4,2,
Miss Fame,7,,2,4,2,,
Mrs. Kasha Davis,7,,2,,2,,
Pearl,7,2,,1,7,2,
Sasha Belle,7,,,1,,,
Tempest DuJour,7,,,,,,
Trixie Mattel,7,,1,,3,1,
Violet Chachki,7,,2,2,5,3,1
Acid Betty,8,,3,,1,,
Bob the Drag Queen,8,1,,,5,3,1
Chi Chi DeVayne,8,2,1,1,3,1,
Cynthia Lee Fontaine,8,1,,,5,,
Dax ExclamationPoint,8,,,,1,,
Derrick Barry,8,1,2,2,1,1,
Kim Chi,8,,2,1,4,2,
Laila McQueen,8,1,,,,,
Naomi Smalls,8,1,2,,5,1,
Naysha Lopez,8,,,,1,,
Robbie Turner,8,1,,2,1,1,
Thorgy Thor,8,,3,,3,,
Aja,9,1,1,,4,,
Alexis Michelle,9,1,2,2,4,1,
Charlie Hides,9,,,1,2,,
Eureka,10,2,4,,4,2,
Farrah Moan,9,1,1,2,3,,
Jaymes Mansfield,9,,,,1,,
Kimora Blac,9,1,,,1,,
Nina Bo'nina Brown,9,2,1,1,4,1,
Peppermint,9,2,3,1,5,1,
Sasha Velour,9,,5,1,4,2,1
Shea Couleé,9,1,3,,4,4,
Trinity Taylor,9,1,2,2,4,3,
Valentina,9,,3,,4,1,
Aquaria,10,,1,2,6,3,1
Asia O'Hara,10,1,2,2,5,2,
Blair St. Clair,10,,3,,2,,
Dusty Ray Bottoms,10,,,1,2,,
Kalorie Karbdashian Williams,10,1,,,,,
Kameron Michaels,10,3,3,1,4,1,
Mayhem Miller,10,1,1,,1,1,
Miz Cracker,10,,4,2,3,1,
Monét X Change,10,2,5,,2,,
Monique Heart,10,,1,1,4,,
The Vixen,10,2,,1,3,1,
Yuhua Hamasaki,10,,1,,1,,
A'keria Chanel Davenport,11,1,2,,5,2,
Ariel Versace,11,,1,1,2,,
Brooke Lynn Hytes,11,1,6,1,,3,
Honey Davenport,11,,,,2,,
Kahanna Montrese,11,1,,,,,
Mercedes Iman Diamond,11,1,1,1,,,
Nina West,11,1,1,3,4,2,
Plastique Tiara,11,1,3,,3,1,
Ra'jah D. O'Hara,11,2,,,3,,
Vanessa Vanjie Mateo,11,1,2,2,4,,
Scarlet Envy,11,,,,3,1,
Shuga Cain,11,2,3,1,3,,
Silky Nutmeg Ganache,11,1,3,2,3,2,
Soju,11,,,,,,
Yvie Oddly,11,1,5,1,3,1,